Day,Power_kW,temp_C,solarRad_W/m2,Week day,Hour,Holiday,Cluster
2018-07-13,239.6903485,20.8875,395.37500000000006,4,18,0.0,0
2018-07-13,192.381384,20.29083333333333,165.57750000000001,4,19,0.0,1
2018-07-13,95.515964,19.124166666666664,42.915416666666665,4,20,0.0,1
2018-07-13,62.452107,17.858333333333334,2.7355,4,21,0.0,1
2018-07-13,55.0443015,17.22666666666667,2.2975833333333333,4,22,0.0,1
2018-07-13,51.1143605,17.014166666666664,2.517,4,23,0.0,1
2018-07-14,50.566581,17.08,2.4014166666666665,5,0,0.0,1
2018-07-14,48.9372265,17.087500000000002,1.7117499999999997,5,1,0.0,1
2018-07-14,49.532639,17.0225,3.017666666666667,5,2,0.0,1
2018-07-14,49.623098,16.711666666666662,1.712,5,3,0.0,1
2018-07-14,49.8903235,16.815,1.9474166666666666,5,4,0.0,1
2018-07-14,49.0814365,16.8175,1.67725,5,5,0.0,1
2018-07-14,49.5031415,16.775833333333335,3.488416666666667,5,6,0.0,1
2018-07-14,51.489525,16.934166666666666,44.0075,5,7,0.0,1
2018-07-14,54.8799895,17.27916666666667,94.065,5,8,0.0,1
2018-07-14,55.9471435,17.875,230.025,5,9,0.0,0
2018-07-14,56.055738,18.957500000000003,399.69166666666666,5,10,0.0,0
2018-07-14,56.5545735,18.855833333333337,350.84999999999997,5,11,0.0,0
2018-07-14,57.014953000000006,19.357499999999998,588.6916666666667,5,12,0.0,2
2018-07-14,57.0090535,19.635833333333334,585.2,5,13,0.0,2
2018-07-14,56.721070499999996,19.965,828.4916666666667,5,14,0.0,2
2018-07-14,58.311094999999995,20.064166666666665,790.3333333333334,5,15,0.0,2
2018-07-14,59.3487515,19.842499999999998,495.68333333333334,5,16,0.0,0
2018-07-14,60.071768000000006,19.37916666666667,375.35833333333335,5,17,0.0,0
2018-07-14,59.72304200000001,19.532500000000002,349.92499999999995,5,18,0.0,0
2018-07-14,58.4419765,18.974999999999998,182.81249999999997,5,19,0.0,1
2018-07-14,57.62544200000001,18.0825,24.64533333333333,5,20,0.0,1
2018-07-14,50.911374,17.777500000000003,2.664,5,21,0.0,1
2018-07-14,52.002563,17.687500000000004,2.023,5,22,0.0,1
2018-07-14,53.0515815,17.684166666666666,2.429333333333333,5,23,0.0,1
